"LOCAL_AIRPORT","AIRLINE_CODE","FLIGHT_NUMBER","FREQUENCY","ARRIVAL_DEPARTURE_FLAG","SOURCE_DESTINATION","SCHED_TIME","TIME_ZONE","EFF_DT_FROM","EFF_DT_TILL"
"AJL","AI","0715","5","2","CCU","1430","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","AI","0712","1234","2","CCU","1440","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","AI","712","1234","2","CCU","1440","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AJL","AI","0712","6","2","CCU","1455","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","AI","3210","1","2","CCU","1455","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","AI","712","6","2","CCU","1505","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AJL","SG","3282","1234567","2","CCU","1515","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AJL","AI","3210","7","2","CCU","1515","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","SG","3281","1234567","2","GAU","1230","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AJL","S2","4690","1234567","2","GAU","1415","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AJL","S2","4690","1234567","2","GAU","1415","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","AI","0715","7","2","IMF","1155","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","AI","715","7","2","IMF","1225","IST","2017-03-26T00:00:00","2017-06-30T00:00:00"
"AMD","6E","6779","1234567","1","BLR","445","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","6779","1234567","1","BLR","450","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","586","1234567","1","BLR","700","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","6E","586","1234567","1","BLR","820","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","G8","798","1234567","1","BLR","830","IST","2017-05-18T00:00:00","2017-10-28T00:00:00"
"AMD","G8","801","2","1","BLR","830","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","0586","1234567","1","BLR","835","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","801","134567","1","BLR","840","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","LB","613","1234567","1","BLR","840","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","LB","613","1234567","1","BLR","840","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","SG","922","123456","1","BLR","1050","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","SG","922","123456","1","BLR","1055","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","759","123456","1","BLR","1205","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","6E","759","123456","1","BLR","1205","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0287","123456","1","BLR","1210","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","6E","253","134567","1","BLR","1630","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0369","134567","1","BLR","1635","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","0369","2","1","BLR","1755","IST","2017-10-31T00:00:00","2018-03-20T00:00:00"
"AMD","6E","253","2","1","BLR","1755","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","452","1234567","1","BLR","1935","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","6E","452","1234567","1","BLR","1935","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0452","1234567","1","BLR","1955","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","520","1234567","1","BLR","2035","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","G8","814","1234567","1","BLR","2035","IST","2017-05-18T00:00:00","2017-10-28T00:00:00"
"AMD","SG","927","1234567","1","BLR","2110","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","803","1234567","1","BLR","2115","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","987","1234567","1","BLR","2200","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","9W","2001","1234567","1","BOM","340","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","9W","2001","1234567","1","BOM","345","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","S2","4329","1234567","1","BOM","630","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","S2","4329","1234567","1","BOM","635","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","213","1234567","1","BOM","850","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0213","1234567","1","BOM","850","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","365","1234567","1","BOM","855","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","365","1234567","1","BOM","855","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","9W","314","123457","1","BOM","910","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","9W","314","1234567","1","BOM","920","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","9W","314","6","1","BOM","1025","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","UK","939","123456","1","BOM","1305","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","6E","181","123456","1","BOM","1330","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0181","123456","1","BOM","1330","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","6E","324","1234567","1","BOM","1620","IST","2017-03-26T00:00:00","2017-06-30T00:00:00"
"AMD","6E","0215","1234567","1","BOM","1750","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","215","1234567","1","BOM","1800","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","635","1234567","1","BOM","1815","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","SG","635","1234567","1","BOM","1815","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","9W","914","1234567","1","BOM","1820","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","9W","914","1234567","1","BOM","1850","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0361","1234567","1","BOM","1910","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
